metric_id,product_sku,product_name,batch_id,inspection_date,inspection_time,defect_type,defect_category,defect_count,total_inspected,defect_rate_percent,defect_rate_ppm,inspection_stage,inspector_id,inspector_name,measurement_tool,corrective_action,corrective_action_date,specification_limit_percent,specification_type,cost_impact_usd,rework_hours,scrap_count,line_id,equipment_id,shift,temperature_c,humidity_percent
QM_2024_001,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240115_001,2024-01-15,08:30:00,Surface Scratch,Cosmetic,12,500,2.40,24000,Final Inspection,INSP_001,Emily Johnson,3D Optical Scanner,Improved handling procedures with foam padding and added protective coating application,2024-01-16,2.00,Maximum,480,6.0,2,LINE_A1,EQ_CB101,Day Shift,22,45
QM_2024_002,SKU_B5678,Precision Gear Assembly,BATCH_20240116_001,2024-01-16,14:15:00,Dimensional Tolerance,Critical,8,450,1.78,17778,In-Process,INSP_002,Mark Thompson,CMM (Coordinate Measuring Machine),Recalibrated CNC machining center spindle runout to <5µm and tightened tool change procedures,2024-01-17,1.50,Maximum,1200,12.0,3,LINE_B3,EQ_RA205,Day Shift,21,42
QM_2024_003,SKU_C9012,Industrial Paint Housing,BATCH_20240117_001,2024-01-17,10:45:00,Color Variance,Aesthetic,15,600,2.50,25000,Final Inspection,INSP_003,Susan Lee,Spectrophotometer,Adjusted paint mixing ratios (±0.5% tolerance) and replaced aged pigment batch; implemented daily color checks,2024-01-18,2.00,Maximum,675,9.0,5,LINE_C2,EQ_VS301,Day Shift,20,55
QM_2024_004,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240118_001,2024-01-18,09:20:00,Incomplete Weld,Structural,5,500,1.00,10000,Welding Station,INSP_004,Carlos Rodriguez,Ultrasonic Tester,Increased weld time from 2.8s to 3.2s and verified shielding gas flow rate at 15 L/min ±1,2024-01-19,0.50,Maximum,2500,15.0,5,LINE_B3,EQ_WR220,Day Shift,23,41
QM_2024_005,SKU_D3456,Automotive Sensor Module,BATCH_20240119_001,2024-01-19,16:00:00,Packaging Damage,Shipping,22,800,2.75,27500,Packaging Line,INSP_001,Emily Johnson,Visual Inspection,Redesigned packaging insert with corner cushioning and reduced conveyor speed from 45 to 35 units/min,2024-01-20,2.50,Maximum,330,4.0,8,LINE_D1,EQ_PM115,Evening Shift,22,46
QM_2024_006,SKU_B5678,Precision Gear Assembly,BATCH_20240122_001,2024-01-22,13:10:00,Missing Component,Assembly,3,450,0.67,6667,Assembly,INSP_002,Mark Thompson,Parts Counter,Implemented dual-verification checklist and automated vision inspection at assembly station,2024-01-23,0.50,Maximum,450,4.5,3,LINE_C2,EQ_AS310,Day Shift,24,43
QM_2024_007,SKU_C9012,Industrial Paint Housing,BATCH_20240123_001,2024-01-23,11:25:00,Adhesive Failure,Bond Strength,18,600,3.00,30000,Final Inspection,INSP_003,Susan Lee,Pull Test Fixture,Switched to high-grade structural adhesive (PN: ADH-5501) and extended curing time from 20 to 35 minutes,2024-01-24,2.00,Maximum,810,10.5,6,LINE_A1,EQ_HP110,Day Shift,25,40
QM_2024_008,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240124_001,2024-01-24,08:50:00,Thread Defect,Functional,9,500,1.80,18000,Machining,INSP_004,Carlos Rodriguez,Thread Gauge Set,Replaced worn taps (after 8500 cycles vs 10000 spec) and implemented tool life tracking system,2024-01-25,1.50,Maximum,1350,13.5,4,LINE_B3,EQ_RA205,Day Shift,21,44
QM_2024_009,SKU_D3456,Automotive Sensor Module,BATCH_20240125_001,2024-01-25,17:30:00,Label Misalignment,Identification,14,800,1.75,17500,Labeling Station,INSP_001,Emily Johnson,Vision System,Recalibrated label applicator servo positioning to ±0.5mm and upgraded camera resolution to 5MP,2024-01-26,1.50,Maximum,210,3.0,0,LINE_D1,EQ_PM115,Evening Shift,22,45
QM_2024_010,SKU_B5678,Precision Gear Assembly,BATCH_20240126_001,2024-01-26,14:45:00,Electrical Short,Safety Critical,2,450,0.44,4444,Electrical Test,INSP_002,Mark Thompson,Hipot Tester,Enhanced ESD controls (wrist straps mandatory) and improved wire routing with cable management clips,2024-01-27,0.30,Maximum,3000,18.0,2,LINE_C2,EQ_AS310,Day Shift,23,42
QM_2024_011,SKU_C9012,Industrial Paint Housing,BATCH_20240129_001,2024-01-29,10:15:00,Porosity,Casting Defect,11,600,1.83,18333,Casting Inspection,INSP_003,Susan Lee,X-Ray Scanner,Adjusted mold temperature to 285°C and improved degassing procedures with vacuum duration +30s,2024-01-30,1.50,Maximum,990,12.0,4,LINE_A1,EQ_HP110,Day Shift,24,41
QM_2024_012,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240130_001,2024-01-30,08:40:00,Burr Formation,Surface Quality,16,500,3.20,32000,Deburring Station,INSP_004,Carlos Rodriguez,Surface Profilometer,Added secondary deburring operation and upgraded tooling to carbide insert design,2024-01-31,2.50,Maximum,720,9.0,6,LINE_B3,EQ_RA205,Day Shift,21,43
QM_2024_013,SKU_D3456,Automotive Sensor Module,BATCH_20240201_001,2024-02-01,16:20:00,Seal Integrity,Functional,7,800,0.88,8750,Leak Test,INSP_001,Emily Johnson,Helium Leak Detector,Increased seal compression force by 15% and implemented 100% pressure testing at 2 bar,2024-02-02,1.00,Maximum,525,6.0,2,LINE_D1,EQ_PM115,Evening Shift,22,47
QM_2024_014,SKU_B5678,Precision Gear Assembly,BATCH_20240202_001,2024-02-02,13:55:00,Corrosion Spots,Surface Treatment,4,450,0.89,8889,Surface Treatment,INSP_002,Mark Thompson,Salt Spray Test Chamber,Upgraded coating process to zinc-nickel alloy and improved environmental humidity controls,2024-02-03,0.50,Maximum,600,7.5,1,LINE_C2,EQ_AS310,Day Shift,23,44
QM_2024_015,SKU_C9012,Industrial Paint Housing,BATCH_20240205_001,2024-02-05,11:10:00,Cracking,Material Defect,6,600,1.00,10000,Heat Treatment,INSP_003,Susan Lee,Dye Penetrant Test,Modified heat treatment cycle to reduce quench rate from 45°C/s to 28°C/s,2024-02-06,0.80,Maximum,900,10.5,3,LINE_A1,EQ_HP110,Day Shift,25,42
QM_2024_016,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240206_001,2024-02-06,09:05:00,Roughness Excessive,Surface Quality,10,500,2.00,20000,Grinding Operation,INSP_004,Carlos Rodriguez,Surface Roughness Tester,Replaced grinding wheel and optimized feed rate to achieve Ra 0.8µm specification,2024-02-07,1.80,Maximum,850,10.0,3,LINE_B3,EQ_RA205,Day Shift,22,43
QM_2024_017,SKU_D3456,Automotive Sensor Module,BATCH_20240207_001,2024-02-07,17:15:00,Connector Pin Bent,Assembly,9,800,1.13,11250,Final Assembly,INSP_001,Emily Johnson,Pin Gauge Set,Redesigned insertion fixture with alignment guides and implemented force monitoring,2024-02-08,1.00,Maximum,675,8.0,3,LINE_D1,EQ_PM115,Evening Shift,22,46
QM_2024_018,SKU_B5678,Precision Gear Assembly,BATCH_20240208_001,2024-02-08,14:30:00,Tooth Profile Error,Critical Dimension,5,450,1.11,11111,Gear Inspection,INSP_002,Mark Thompson,Gear Tester,Recalibrated hobbing machine indexing accuracy and replaced worn hob cutter,2024-02-09,1.00,Maximum,1500,15.0,5,LINE_C2,EQ_AS310,Day Shift,24,43
QM_2024_019,SKU_C9012,Industrial Paint Housing,BATCH_20240209_001,2024-02-09,10:50:00,Paint Thickness Variation,Coating Quality,13,600,2.17,21667,Paint Inspection,INSP_003,Susan Lee,Coating Thickness Gauge,Optimized spray gun distance to 250mm and adjusted atomizing air pressure to 2.5 bar,2024-02-10,2.00,Maximum,585,7.5,4,LINE_A1,EQ_HP110,Day Shift,23,45
QM_2024_020,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240212_001,2024-02-12,08:25:00,Hardness Out of Spec,Material Property,7,500,1.40,14000,Heat Treatment Verification,INSP_004,Carlos Rodriguez,Rockwell Hardness Tester,Adjusted quench temperature and verified hardness 52-56 HRC within specification,2024-02-13,1.20,Maximum,1050,12.5,3,LINE_B3,EQ_RA205,Day Shift,21,42
QM_2024_021,SKU_D3456,Automotive Sensor Module,BATCH_20240213_001,2024-02-13,16:45:00,Solder Joint Cold,Electrical,11,800,1.38,13750,SMT Inspection,INSP_001,Emily Johnson,X-Ray Inspection System,Increased reflow oven peak temperature by 8°C and extended dwell time to 75 seconds,2024-02-14,1.20,Maximum,825,10.0,4,LINE_D1,EQ_PM115,Evening Shift,22,48
QM_2024_022,SKU_B5678,Precision Gear Assembly,BATCH_20240214_001,2024-02-14,13:20:00,Concentricity Error,Geometric Tolerance,6,450,1.33,13333,CMM Inspection,INSP_002,Mark Thompson,CMM with Rotary Table,Improved workholding fixture alignment and verified spindle TIR <0.01mm,2024-02-15,1.20,Maximum,900,11.0,2,LINE_C2,EQ_AS310,Day Shift,23,43
QM_2024_023,SKU_C9012,Industrial Paint Housing,BATCH_20240215_001,2024-02-15,11:35:00,Orange Peel Texture,Surface Finish,19,600,3.17,31667,Final Inspection,INSP_003,Susan Lee,Visual Comparison Standard,Reduced paint viscosity by 10% and optimized spray pattern overlap to 50%,2024-02-16,2.50,Maximum,855,11.0,7,LINE_A1,EQ_HP110,Day Shift,24,46
QM_2024_024,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240216_001,2024-02-16,09:15:00,Leak Test Failure,Pressure Integrity,4,500,0.80,8000,Pressure Test,INSP_004,Carlos Rodriguez,Pressure Decay Tester,Improved O-ring installation procedure and upgraded seal material to Viton 75 Shore A,2024-02-17,0.60,Maximum,2000,18.0,4,LINE_B3,EQ_RA205,Day Shift,22,42
QM_2024_025,SKU_D3456,Automotive Sensor Module,BATCH_20240219_001,2024-02-19,17:00:00,Calibration Drift,Functional Performance,8,800,1.00,10000,Functional Test,INSP_001,Emily Johnson,Calibration Test Bench,Revised calibration algorithm coefficients and extended burn-in time to 4 hours,2024-02-20,0.80,Maximum,1200,14.0,3,LINE_D1,EQ_PM115,Evening Shift,22,47
QM_2024_026,SKU_B5678,Precision Gear Assembly,BATCH_20240220_001,2024-02-20,14:10:00,Runout Excessive,Geometric Quality,9,450,2.00,20000,In-Process Measurement,INSP_002,Mark Thompson,Dial Indicator,Improved chuck gripping force and verified bearing preload on grinding spindle,2024-02-21,1.80,Maximum,1350,16.0,3,LINE_C2,EQ_AS310,Day Shift,24,43
QM_2024_027,SKU_C9012,Industrial Paint Housing,BATCH_20240221_001,2024-02-21,10:25:00,Gloss Level Variation,Appearance,14,600,2.33,23333,Gloss Measurement,INSP_003,Susan Lee,Gloss Meter 60°,Standardized paint mixing procedure and implemented batch-to-batch gloss verification,2024-02-22,2.20,Maximum,630,8.0,5,LINE_A1,EQ_HP110,Day Shift,23,44
QM_2024_028,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240222_001,2024-02-22,08:55:00,Inclusion Defect,Material Quality,3,500,0.60,6000,Material Inspection,INSP_004,Carlos Rodriguez,Ultrasonic Flaw Detector,Upgraded raw material supplier quality requirements and added incoming inspection,2024-02-23,0.50,Maximum,1500,16.0,3,LINE_B3,EQ_RA205,Day Shift,21,43
QM_2024_029,SKU_D3456,Automotive Sensor Module,BATCH_20240223_001,2024-02-23,16:30:00,Barcode Unreadable,Identification,12,800,1.50,15000,Labeling Verification,INSP_001,Emily Johnson,Barcode Verifier,Increased laser marking power by 12% and reduced marking speed for better contrast,2024-02-24,1.30,Maximum,180,2.5,0,LINE_D1,EQ_PM115,Evening Shift,22,46
QM_2024_030,SKU_B5678,Precision Gear Assembly,BATCH_20240226_001,2024-02-26,13:45:00,Bore Diameter Undersize,Critical Dimension,7,450,1.56,15556,Machining Inspection,INSP_002,Mark Thompson,Bore Gauge,Compensated tool wear offset and implemented in-process statistical control charting,2024-02-27,1.40,Maximum,1050,13.0,2,LINE_C2,EQ_AS310,Day Shift,23,43
QM_2024_031,SKU_C9012,Industrial Paint Housing,BATCH_20240227_001,2024-02-27,11:05:00,Masking Residue,Process Quality,10,600,1.67,16667,Final Inspection,INSP_003,Susan Lee,Visual Inspection,Improved masking tape removal process and added adhesive residue cleaning step,2024-02-28,1.50,Maximum,450,6.0,3,LINE_A1,EQ_HP110,Day Shift,24,45
QM_2024_032,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240228_001,2024-02-28,09:30:00,Flatness Deviation,Geometric Tolerance,11,500,2.20,22000,Surface Plate Inspection,INSP_004,Carlos Rodriguez,Dial Indicator on Surface Plate,Optimized grinding wheel dressing frequency and reduced table feed rate,2024-02-29,2.00,Maximum,935,11.5,4,LINE_B3,EQ_RA205,Day Shift,22,42
QM_2024_033,SKU_D3456,Automotive Sensor Module,BATCH_20240229_001,2024-02-29,17:20:00,Response Time Slow,Performance,6,800,0.75,7500,Functional Test,INSP_001,Emily Johnson,Response Time Analyzer,Optimized sensor signal conditioning circuit and reduced low-pass filter time constant,2024-03-01,0.60,Maximum,900,11.0,2,LINE_D1,EQ_PM115,Evening Shift,22,48
QM_2024_034,SKU_B5678,Precision Gear Assembly,BATCH_20240301_001,2024-03-01,14:25:00,Surface Finish Rough,Machining Quality,8,450,1.78,17778,Post-Machining Inspection,INSP_002,Mark Thompson,Surface Roughness Tester,Reduced cutting speed by 15% and optimized coolant flow rate to 12 L/min,2024-03-02,1.60,Maximum,1200,14.5,3,LINE_C2,EQ_AS310,Day Shift,24,43
QM_2024_035,SKU_C9012,Industrial Paint Housing,BATCH_20240304_001,2024-03-04,10:40:00,Overspray,Process Defect,17,600,2.83,28333,In-Process Inspection,INSP_003,Susan Lee,Visual Inspection,Adjusted spray booth ventilation and optimized spray gun fluid tip size,2024-03-05,2.50,Maximum,765,9.5,6,LINE_A1,EQ_HP110,Day Shift,23,46
QM_2024_036,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240305_001,2024-03-05,08:15:00,Chamfer Missing,Manufacturing Defect,5,500,1.00,10000,Visual Inspection,INSP_004,Carlos Rodriguez,Visual and Go/No-Go Gauge,Added chamfer operation to manufacturing process and implemented 100% inspection,2024-03-06,0.80,Maximum,750,9.0,2,LINE_B3,EQ_RA205,Day Shift,21,42
QM_2024_037,SKU_D3456,Automotive Sensor Module,BATCH_20240306_001,2024-03-06,16:55:00,Insulation Resistance Low,Electrical Safety,3,800,0.38,3750,Electrical Safety Test,INSP_001,Emily Johnson,Megohmmeter,Improved PCB cleaning process and extended drying time to remove moisture,2024-03-07,0.30,Maximum,1500,17.0,3,LINE_D1,EQ_PM115,Evening Shift,22,51
QM_2024_038,SKU_B5678,Precision Gear Assembly,BATCH_20240307_001,2024-03-07,13:35:00,Keyway Position Error,Geometric Tolerance,4,450,0.89,8889,CMM Inspection,INSP_002,Mark Thompson,CMM with Rotary Indexer,Recalibrated broaching machine fixture and verified indexing accuracy ±0.02mm,2024-03-08,0.80,Maximum,800,10.0,2,LINE_C2,EQ_AS310,Day Shift,23,43
QM_2024_039,SKU_C9012,Industrial Paint Housing,BATCH_20240308_001,2024-03-08,11:20:00,Sag/Curtaining,Paint Application,15,600,2.50,25000,Wet Film Inspection,INSP_003,Susan Lee,Wet Film Thickness Gauge,Reduced paint application thickness per coat and added intermediate flash time,2024-03-09,2.30,Maximum,675,8.5,5,LINE_A1,EQ_HP110,Day Shift,24,44
QM_2024_040,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240311_001,2024-03-11,09:10:00,Torque Specification Low,Assembly Quality,6,500,1.20,12000,Torque Verification,INSP_004,Carlos Rodriguez,Torque Analyzer,Recalibrated torque tools and implemented SPC monitoring of torque values,2024-03-12,1.00,Maximum,900,11.0,2,LINE_B3,EQ_RA205,Day Shift,22,43
QM_2024_041,SKU_D3456,Automotive Sensor Module,BATCH_20240312_001,2024-03-12,17:10:00,Housing Crack,Structural Defect,5,800,0.63,6250,Final Inspection,INSP_001,Emily Johnson,Visual and Dye Penetrant,Modified injection molding cooling time and reduced ejection force,2024-03-13,0.50,Maximum,1250,14.0,5,LINE_D1,EQ_PM115,Evening Shift,22,47
QM_2024_042,SKU_B5678,Precision Gear Assembly,BATCH_20240313_001,2024-03-13,14:50:00,Spline Damage,Functional Defect,7,450,1.56,15556,Final Inspection,INSP_002,Mark Thompson,Spline Gauge,Improved handling procedures and added protective covers during transport,2024-03-14,1.40,Maximum,1050,13.0,3,LINE_C2,EQ_AS310,Day Shift,24,43
QM_2024_043,SKU_C9012,Industrial Paint Housing,BATCH_20240314_001,2024-03-14,10:30:00,Foreign Contamination,Process Control,20,600,3.33,33333,Final Inspection,INSP_003,Susan Lee,Visual and Microscope,Enhanced paint booth filtration and implemented clean room protocol in prep area,2024-03-15,2.80,Maximum,900,11.5,7,LINE_A1,EQ_HP110,Day Shift,23,48
QM_2024_044,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240315_001,2024-03-15,08:45:00,Perpendicularity Error,Geometric Tolerance,9,500,1.80,18000,CMM Verification,INSP_004,Carlos Rodriguez,CMM with Touch Probe,Re-trammed machining center table and verified squareness to ±0.005mm,2024-03-16,1.60,Maximum,1350,16.0,3,LINE_B3,EQ_RA205,Day Shift,21,42
QM_2024_045,SKU_D3456,Automotive Sensor Module,BATCH_20240318_001,2024-03-18,16:40:00,Output Signal Noise,Electronic Performance,8,800,1.00,10000,Functional Test,INSP_001,Emily Johnson,Oscilloscope,Added filtering capacitors and improved PCB ground plane design,2024-03-19,0.80,Maximum,1200,14.5,3,LINE_D1,EQ_PM115,Evening Shift,22,46
QM_2024_046,SKU_B5678,Precision Gear Assembly,BATCH_20240319_001,2024-03-19,13:25:00,Heat Treatment Distortion,Dimensional Stability,10,450,2.22,22222,Post-Heat Treatment Inspection,INSP_002,Mark Thompson,CMM Full Scan,Optimized quench fixture design and reduced thermal gradient during cooling,2024-03-20,2.00,Maximum,1500,18.0,4,LINE_C2,EQ_AS310,Day Shift,23,43
QM_2024_047,SKU_C9012,Industrial Paint Housing,BATCH_20240320_001,2024-03-20,11:15:00,Color Match Error,Aesthetic Quality,12,600,2.00,20000,Color Verification,INSP_003,Susan Lee,Spectrophotometer,Implemented tighter color tolerance on incoming paint and added QC verification,2024-03-21,1.80,Maximum,540,7.0,4,LINE_A1,EQ_HP110,Day Shift,24,45
QM_2024_048,SKU_A1234,High-Pressure Valve Assembly,BATCH_20240321_001,2024-03-21,09:00:00,Weld Undercut,Welding Defect,4,500,0.80,8000,Weld Inspection,INSP_004,Carlos Rodriguez,Visual and Ultrasonic,Reduced welding travel speed and optimized electrode angle to 70 degrees,2024-03-22,0.60,Maximum,2000,18.0,4,LINE_B3,EQ_WR220,Day Shift,22,42
QM_2024_049,SKU_D3456,Automotive Sensor Module,BATCH_20240322_001,2024-03-22,17:25:00,Test Point Access Blocked,Assembly Issue,6,800,0.75,7500,Final Assembly Verification,INSP_001,Emily Johnson,Visual Inspection,Revised assembly sequence to ensure test point accessibility,2024-03-23,0.60,Maximum,90,1.5,0,LINE_D1,EQ_PM115,Evening Shift,22,48
QM_2024_050,SKU_B5678,Precision Gear Assembly,BATCH_20240325_001,2024-03-25,14:05:00,Decarburization,Heat Treatment Defect,5,450,1.11,11111,Metallurgical Inspection,INSP_002,Mark Thompson,Microhardness Tester,Improved atmosphere control in heat treat furnace and reduced soak temperature,2024-03-26,1.00,Maximum,1250,15.0,5,LINE_C2,EQ_AS310,Day Shift,24,43